REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;BARCODE;SKU;GS1_EAN13
SP220;Men’s linen polo shirt;Peacock Blue;XL;92031;92022;162;;SP220_92031_92022;3663938678108
SP220;Men’s linen polo shirt;Peacock Blue;XXL;92031;92023;87;;SP220_92031_92023;3663938678191
SP220;Men’s linen polo shirt;Peacock Blue;3XL;92031;92024;120;;SP220_92031_92024;3663938678283
SP220;Men’s linen polo shirt;Stone Grey;S;92032;92019;165;;SP220_92032_92019;3663938677842
SP220;Men’s linen polo shirt;Stone Grey;M;92032;92020;497;;SP220_92032_92020;3663938677934
SP220;Men’s linen polo shirt;Stone Grey;L;92032;92021;511;;SP220_92032_92021;3663938678023
SP220;Men’s linen polo shirt;Stone Grey;XL;92032;92022;345;;SP220_92032_92022;3663938678115
SP220;Men’s linen polo shirt;Stone Grey;XXL;92032;92023;135;;SP220_92032_92023;3663938678207
SP220;Men’s linen polo shirt;Stone Grey;3XL;92032;92024;127;;SP220_92032_92024;3663938678290
SP220;Men’s linen polo shirt;Wet Sand;S;92033;92019;157;;SP220_92033_92019;3663938677859
SP220;Men’s linen polo shirt;Wet Sand;M;92033;92020;641;;SP220_92033_92020;3663938677941
SP220;Men’s linen polo shirt;Wet Sand;L;92033;92021;551;;SP220_92033_92021;3663938678030
SP220;Men’s linen polo shirt;Wet Sand;XL;92033;92022;147;;SP220_92033_92022;3663938678122
SP220;Men’s linen polo shirt;Wet Sand;XXL;92033;92023;217;;SP220_92033_92023;3663938678214
SP220;Men’s linen polo shirt;Wet Sand;3XL;92033;92024;76;;SP220_92033_92024;3663938678306
SP221;Ladies’ linen polo shirt;Black;XS;92038;92034;70;;SP221_92038_92034;3663938678610
SP221;Ladies’ linen polo shirt;Black;S;92038;92035;551;;SP221_92038_92035;3663938678696
SP221;Ladies’ linen polo shirt;Black;M;92038;92036;552;;SP221_92038_92036;3663938678771
SP221;Ladies’ linen polo shirt;Black;L;92038;92037;410;;SP221_92038_92037;3663938678856
SP221;Ladies’ linen polo shirt;Ivory;XS;92040;92034;163;;SP221_92040_92034;3663938678627
SP221;Ladies’ linen polo shirt;Ivory;S;92040;92035;324;;SP221_92040_92035;3663938678702
SP221;Ladies’ linen polo shirt;Ivory;M;92040;92036;311;;SP221_92040_92036;3663938678788
